timestamp,utc_time,category,message,flag,scope,sector,message_id
00:14:15.274,2025-05-02T16:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,GREEN,Track,,
00:20:19.217,2025-05-02T16:36:04,Other,INCIDENT INVOLVING CAR 4 (NOR) NOTED - UNSAFE CONDITION,,,,1
00:21:40.414,2025-05-02T16:37:25,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 4 (NOR) WILL BE INVESTIGATED AFTER THE SESSION - UNSAFE CONDITION,,,,2
00:50:50.334,2025-05-02T17:06:35,Other,TURN 17 INCIDENT INVOLVING CARS 31 (OCO) AND 4 (NOR) NOTED - IMPEDING,,,,3
00:51:51.075,2025-05-02T17:07:36,Other,FIA STEWARDS: TURN 17 INCIDENT INVOLVING CARS 31 (OCO) AND 4 (NOR) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,4
01:05:26.555,2025-05-02T17:21:11,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,DOUBLE YELLOW,Sector,7.0,5
01:05:29.565,2025-05-02T17:21:14,Flag,CLEAR IN TRACK SECTOR 7,CLEAR,Sector,7.0,6
01:09:35.385,2025-05-02T17:25:20,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,DOUBLE YELLOW,Sector,13.0,7
01:09:42.789,2025-05-02T17:25:28,Flag,RED FLAG,RED,Track,,8
01:09:42.877,2025-05-02T17:25:28,Flag,CLEAR IN TRACK SECTOR 13,CLEAR,Sector,13.0,9
01:20:02.046,2025-05-02T17:35:47,Flag,TRACK CLEAR,CLEAR,Track,,10
