timestamp,driver_number,compound,new_tire,stint_start
01:35:31.226,1,MEDIUM,True,True
01:35:31.226,81,MEDIUM,True,True
01:35:31.226,7,MEDIUM,True,True
01:35:31.226,63,HARD,True,True
01:35:31.226,6,HARD,True,True
01:35:31.226,55,MEDIUM,False,True
01:35:31.226,5,HARD,True,True
01:35:31.226,44,HARD,True,True
01:35:31.226,4,MEDIUM,True,True
01:35:31.226,31,HARD,True,True
01:35:31.226,30,HARD,True,True
01:35:31.226,27,HARD,True,True
01:35:31.226,23,MEDIUM,True,True
01:35:31.226,87,HARD,True,True
01:35:31.226,22,MEDIUM,True,True
01:35:31.226,18,HARD,False,True
01:35:31.226,10,HARD,True,True
01:35:31.226,16,MEDIUM,True,True
01:35:31.226,12,MEDIUM,True,True
01:35:31.226,14,HARD,False,True
01:49:41.336,23,HARD,False,True
01:49:41.336,1,HARD,False,True
01:49:41.336,63,MEDIUM,False,True
01:49:41.336,10,MEDIUM,False,True
01:49:41.336,55,HARD,True,True
01:49:41.336,44,MEDIUM,False,True
01:49:41.336,22,HARD,False,True
01:49:41.336,14,MEDIUM,False,True
01:49:41.336,4,HARD,False,True
01:49:41.336,16,HARD,False,True
01:49:41.336,30,MEDIUM,False,True
01:49:41.336,81,HARD,False,True
01:49:41.336,12,HARD,False,True
01:55:46.379,27,MEDIUM,False,True
